timestamp,market,symbol,side,pnl_pct
2026-06-24T13:09:25.505441,OKX,AVAX-USDT-SWAP,CLOSE_LONG,-0.4546
2026-06-24T13:48:42.149790,OKX,ETH-USDT-SWAP,CLOSE_LONG,-2.1045
2026-06-24T18:22:00.780800,OKX,AVAX-USDT-SWAP,CLOSE_SHORT,4.0232
2026-06-24T20:01:38.766416,OKX,ETH-USDT-SWAP,CLOSE_SHORT,3.4393
2026-06-24T20:06:49.482083,OKX,BTC-USDT-SWAP,CLOSE_SHORT,2.5135
2026-06-24T20:06:50.804065,OKX,BTC-USDT-SWAP,CLOSE_SHORT,2.9084
2026-06-24T20:06:51.053220,OKX,BNB-USDT-SWAP,CLOSE_SHORT,4.6895
2026-06-25T08:16:24.638049,OKX,AVAX-USDT-SWAP,CLOSE_LONG,1.1996
2026-06-25T13:45:10.585110,OKX,BTC-USDT-SWAP,CLOSE_LONG,-2.0117
2026-06-25T14:03:46.941925,OKX,ADA-USDT-SWAP,CLOSE_SHORT,4.1356
2026-06-25T14:08:55.599463,OKX,BTC-USDT-SWAP,CLOSE_SHORT,2.7902
2026-06-25T14:08:56.139677,OKX,ETH-USDT-SWAP,CLOSE_SHORT,3.9799
2026-06-25T14:08:56.893683,OKX,BNB-USDT-SWAP,CLOSE_SHORT,5.9832
2026-06-25T14:33:40.937689,OKX,BTC-USDT-SWAP,CLOSE_SHORT,-1.6640
2026-06-25T14:33:41.450974,OKX,ETH-USDT-SWAP,CLOSE_SHORT,-1.5858
2026-06-25T14:33:41.967942,OKX,ADA-USDT-SWAP,CLOSE_SHORT,-3.2670
2026-06-26T02:13:38.944032,OKX,BTC-USDT-SWAP,CLOSE_LONG,-2.4519
2026-06-26T02:13:40.479967,OKX,BNB-USDT-SWAP,CLOSE_LONG,-1.7115
2026-06-26T03:46:16.995182,OKX,BTC-USDT-SWAP,CLOSE_SHORT,-1.6429
2026-06-26T03:46:17.543012,OKX,ETH-USDT-SWAP,CLOSE_SHORT,-0.0097
2026-06-26T09:47:28.888493,OKX,SOL-USDT-SWAP,CLOSE_LONG,0.2309
2026-06-26T09:52:36.604087,OKX,ETH-USDT-SWAP,CLOSE_LONG,-1.7717
2026-06-26T10:39:56.786622,OKX,BTC-USDT-SWAP,CLOSE_LONG,-1.4395
2026-06-26T13:55:26.840188,OKX,ETH-USDT-SWAP,CLOSE_SHORT,-2.2668
2026-06-26T13:57:29.628838,OKX,BTC-USDT-SWAP,CLOSE_SHORT,-1.1351
2026-06-26T14:56:16.790563,OKX,SOL-USDT-SWAP,CLOSE_LONG,-0.9710
2026-06-26T20:34:08.042763,OKX,SOL-USDT-SWAP,CLOSE_LONG,0.9209
2026-06-27T00:33:52.490819,OKX,AVAX-USDT-SWAP,CLOSE_LONG,-1.1369
2026-06-27T13:46:40.881146,OKX,AVAX-USDT-SWAP,CLOSE_SHORT,-1.4969
2026-06-27T18:01:07.205527,OKX,AVAX-USDT-SWAP,CLOSE_LONG,-1.1813
2026-06-27T19:31:02.213334,OKX,ETH-USDT-SWAP,CLOSE_LONG,-0.8479
2026-06-28T07:38:32.849093,OKX,XRP-USDT-SWAP,CLOSE_LONG,0.1430
2026-06-28T11:03:23.312983,OKX,SOL-USDT-SWAP,CLOSE_LONG,-0.2780
